Song Name,YouTube URL
Lag Ja Gale,https://www.youtube.com/watch?v=TFr6G5zveS8
O Sanam,https://www.youtube.com/watch?v=Z3vKxX22kO8
Saibo (Lofi Flip),https://www.youtube.com/watch?v=0m1VFNQFVew
Tum Itna Jo Muskura Rahe Ho,https://www.youtube.com/watch?v=daocLOGvJIg
Chura Liya Hai Tumne Jo Dil Ko,https://www.youtube.com/watch?v=da1hW_vM4_M
Peele Peele O More Raja,https://www.youtube.com/watch?v=9xT6LqY4vS8
Dil Diyan Gallan,https://www.youtube.com/watch?v=SAcpESN_Fk4
Brown Munde,https://www.youtube.com/watch?v=VNs_cCtdbCw
Zhingat,https://www.youtube.com/watch?v=8VfndcEms5g
Apsara Aali,https://www.youtube.com/watch?v=420qX9X2jZ0
Iktara (Lofi Edit),https://www.youtube.com/watch?v=0m1VFNQFVew
Hothon Se Chhu Lo Tum,https://www.youtube.com/watch?v=F08Vq1o_aQA
Sayonee,https://www.youtube.com/watch?v=d_kH0N7kY64
Dooba Dooba,https://www.youtube.com/watch?v=HchE74FshzU
Tu Hi Meri Shab Hai,https://www.youtube.com/watch?v=tA7z9kE_aA8
Zara Zara,https://www.youtube.com/watch?v=YgL1fMskX2M
High Rated Gabru,https://www.youtube.com/watch?v=hjWf8A0YNSE
Chithi Na Koi Sandesh,https://www.youtube.com/watch?v=3t3JSH-yXas
Tum Mile (Lofi Flip),https://www.youtube.com/watch?v=0m1VFNQFVew
Kora Kagaz Tha Yeh Man Mera,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Badtameez Dil,https://www.youtube.com/watch?v=R7GfTidgRDU
Navrai Majhi,https://www.youtube.com/watch?v=s3M2dGzWdFk
Mera Pehla Pehla Pyaar,https://www.youtube.com/watch?v=7X9FfQdYnSM
Proper Patola,https://www.youtube.com/watch?v=qX3H4wYd6tU
Dil Se Re (Lofi),https://www.youtube.com/watch?v=hMFYC2lKVC8
Aao Huzoor Tumko,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
Aaj Jane Ki Zid Na Karo,https://www.youtube.com/watch?v=13QjZ6eP0k4
Tanha Dil,https://www.youtube.com/watch?v=F3t6vM6MhE0
Galla Goodiyan,https://www.youtube.com/watch?v=jCe1P91Bq_I
Khaabon Ke Parindey,https://www.youtube.com/watch?v=R0Xj67n5MvY
Lamberghini,https://www.youtube.com/watch?v=5rGv1b0fG-4
Gulabi Aankhen,https://www.youtube.com/watch?v=hgi2byJa4hk
Saathiya,https://www.youtube.com/watch?v=tU2yD_3G4l4
Maeri,https://www.youtube.com/watch?v=j7fLskO-2-o
Sarkailo Khatiya,https://www.youtube.com/watch?v=R82C75F8oJ0
Yaarana (Lofi Vibes),https://www.youtube.com/watch?v=hMFYC2lKVC8
Chandi Jaisa Rang,https://www.youtube.com/watch?v=vVbXqQO5mDk
Kombdi Palali,https://www.youtube.com/watch?v=y3F2RkO_kF0
Amplifier,https://www.youtube.com/watch?v=uuCFRaFWjwY
Kabira,https://www.youtube.com/watch?v=jHNNMj5bNQw
Pehla Nasha,https://www.youtube.com/watch?v=wMokm5yK8_M
Deewane Hoke Hum,https://www.youtube.com/watch?v=O12wM4K8yR4
Abhi Na Jao Chhod Kar,https://www.youtube.com/watch?v=Vq7HscD11Wk
Urasi Urasi (Lofi),https://www.youtube.com/watch?v=0m1VFNQFVew
Ghar Aaja Soniya,https://www.youtube.com/watch?v=DdBhMv1nOUI
Naah,https://www.youtube.com/watch?v=8q7_i77i8xQ
Jhilmil Sitaron Ka,https://www.youtube.com/watch?v=qFm2Xm5qS8o
Saalana (Marathi),https://www.youtube.com/watch?v=N4l_dFh6M6A
Jhuki Jhuki Si Nazar,https://www.youtube.com/watch?v=daocLOGvJIg
Hawayein,https://www.youtube.com/watch?v=cYOB9dt1PXU
Kya Surat Hai,https://www.youtube.com/watch?v=w6Z7y-wF8y0
Billo Rani,https://www.youtube.com/watch?v=GkXk8W8E7dM
Lahore,https://www.youtube.com/watch?v=dZ0fwJoj4Gs
